t_seconds,latency_ms
2.581301,101.3113
2.531202,153.8341
2.441816,244.1649
2.539385,151.6501
2.087850,604.2481
2.438504,254.6192
2.592319,106.5853
2.420680,281.0309
2.407341,299.5692
2.641370,71.6889
2.366989,347.5327
2.691036,24.4734
2.653775,66.6734
2.526622,194.7773
2.647896,76.3512
2.609790,116.0352
2.595126,134.5065
2.672035,60.4389
2.706911,28.6488
2.629315,113.5391
2.484612,259.1783
2.685037,60.7998
2.432879,315.3994
2.701711,49.2148
2.666619,86.0484
2.644978,115.3881
2.529186,232.6046
2.395226,368.2841
2.469495,297.6153
2.742854,25.2175
2.545961,229.5511
2.750926,31.0753
2.579372,206.8730
2.715510,73.0232
2.693124,96.8228
2.637369,153.6358
2.698905,94.8378
2.767111,30.1676
2.735560,64.1326
2.768072,32.5927
2.775514,28.8049
2.782002,28.1284
2.499002,318.5469
2.607769,212.6806
2.622212,199.7381
2.636353,187.3682
2.669401,155.3055
2.487790,339.4869
2.196392,636.0728
2.804319,30.5410
2.713060,127.1964
2.745837,95.3780
2.788533,62.5834
2.724248,129.4269
2.682613,172.0731
2.692099,170.0134
2.748279,117.0451
2.569861,296.8975
1.869563,998.1421
2.763510,107.3355
2.824707,48.1443
2.567003,314.3651
2.571850,313.4393
2.827278,60.6405
2.800666,90.0538
2.612404,279.2440
2.789947,105.8000
2.720449,178.4382
2.603395,296.4515
2.854687,46.7967
2.563316,340.1092
2.817550,91.3813
2.786246,126.0236
2.862113,52.4768
2.810131,108.7923
2.752668,173.1442
2.903426,24.8350
2.721400,207.8434
2.867706,63.9671
2.793743,142.8397
2.912270,27.2981
2.823722,121.0874
2.832466,113.6658
2.872852,77.3212
2.791005,164.1606
2.870846,86.7754
2.657678,303.3429
2.655289,307.9570
2.901484,62.7917
2.936583,29.2125
2.840256,133.5422
2.898888,75.9474
2.725826,250.0508
2.714522,265.8924
2.851117,134.0064
2.865325,120.8418
2.760366,228.7251
2.899847,90.2699
2.925813,66.7807
2.743791,253.7667
2.891649,107.4037
2.939569,65.6770
2.963246,44.0442
2.929243,80.8592
2.985124,28.2328
2.881369,138.3398
2.914590,106.6586
2.965796,56.9561
2.841216,183.0378
2.890720,138.2105
2.670638,364.1615
2.986167,53.0516
2.928262,112.4028
2.761791,281.0694
2.918924,127.6198
3.019709,29.3185
2.999053,53.3295
2.866759,188.0566
3.028931,29.1789
2.992594,67.8109
2.974836,87.9738
2.957622,109.2207
2.685982,386.7671
3.013358,60.8468
2.990118,86.2800
2.944810,135.0228
2.453793,627.9309
2.659777,423.8532
2.973801,113.4789
2.821950,267.5110
3.052383,40.7030
3.040665,57.1266
3.072749,26.5699
3.005246,100.0071
2.820450,286.6969
3.049028,59.1185
3.010103,100.6601
3.074205,37.5269
2.997558,120.4015
2.732474,386.9067
2.931673,189.0860
3.097792,25.2502
2.989092,134.8765
2.887919,240.1263
2.961021,169.2904
2.853675,281.5307
3.058110,80.6207
2.729633,415.0578
2.885290,260.3781
3.042861,105.9392
3.128046,24.3379
3.083631,72.6690
3.087280,73.3724
3.138732,22.9668
3.046544,118.7293
3.120760,48.0910
3.007291,168.2812
2.975877,200.7375
3.156301,27.6659
3.022753,162.6986
3.110764,75.6514
3.130312,59.2756
3.165274,25.7561
3.135206,60.1705
3.079833,119.5530
2.895748,308.4939
3.152384,55.3205
3.123043,85.6436
3.099320,111.8239
3.060405,152.3474
3.123969,90.1091
3.021249,197.5423
3.119381,102.4853
3.160653,63.0065
2.799693,428.1258
3.034800,194.7821
3.204242,28.4164
3.175573,58.0418
3.062810,180.0830
3.076398,167.9537
3.148801,96.7381
3.183967,63.0195
3.111732,137.6278
2.946132,305.5633
3.108147,144.4973
2.908931,346.6473
3.233615,26.3254
3.144691,122.8261
3.066844,202.7131
3.081724,191.2311
2.834861,439.9624
3.105254,173.7931
3.195377,86.2379
3.117960,164.6121
3.208687,77.3092
3.245539,45.2974
3.269557,25.7082
3.251696,47.7026
3.274823,26.2950
3.223660,79.0910
2.950173,357.2133
2.955166,354.1544
3.207705,107.9394
3.214079,103.5002
3.246987,72.0829
3.185452,135.0955
3.191031,130.4527
2.644059,678.3607
3.281616,47.7339
3.189588,141.5393
3.039219,294.8078
3.301119,38.0428
3.211144,129.8432
3.320548,24.1320
3.272956,73.1514
3.322420,26.5947
2.964276,387.9738
3.282572,71.9218
2.980415,378.0483
3.307387,55.0992
3.259941,103.5732
3.340988,30.8783
3.242894,131.4779
3.344680,32.1486
3.295266,86.4978
3.218792,165.0174
3.290837,96.8247
3.093086,295.5879
3.244352,147.0745
3.371866,22.6109
3.249361,146.0820
3.285996,117.5842
3.358469,48.4266
3.302751,105.1710
3.354495,55.1954
3.252645,162.3268
3.394478,21.9372
3.395443,23.6052
3.232659,188.0945
3.255579,171.2888
3.309321,118.5276
3.227819,205.0220
3.409691,24.5143
3.212753,222.9585
3.374372,63.1278
3.416416,26.4803
3.229583,216.5604
3.426869,24.1759
3.107147,345.8703
3.427849,28.1693
3.145668,311.7479
3.432842,27.3548
3.388675,73.5499
3.352251,115.3928
3.442896,27.5094
3.321484,151.7954
3.161699,314.8672
3.186416,291.1113
3.317579,162.1382
3.168851,312.7889
3.451045,31.5597
3.362487,121.3282
3.299399,192.4444
3.434205,62.1790
3.054816,442.9956
3.363514,138.0493
3.267518,235.0003
3.279047,225.0418
3.334028,175.7538
3.473280,40.6964
3.407923,107.4819
3.467644,51.3132
3.381764,139.1566
3.501564,30.5856
3.456019,77.8391
3.339162,197.1595
3.383810,153.6310
3.462225,76.6152
3.482605,57.7682
3.476567,65.8985
3.453018,97.0954
3.515405,36.1029
3.176616,375.9996
3.406896,149.4207
3.435712,121.5579
3.477527,83.5128
3.481640,86.7431
2.797279,772.0678
3.024254,546.9157
3.509782,67.1906
3.513977,64.0151
3.552616,26.9610
3.556317,26.1637
3.536322,54.0800
3.491844,99.9959
3.532150,63.8016
3.520921,76.6330
3.437500,165.0530
3.576973,27.3947
3.315645,290.6465
3.579577,28.2170
3.460197,151.0045
3.533858,82.3043
3.391428,226.5743
3.590403,30.4190
3.551509,71.2315
3.504090,125.1120
3.602554,27.5601
3.571170,60.2013
3.604368,29.6175
3.607795,27.8484
3.199386,441.6195
3.387662,254.2762
3.403581,240.7119
3.616163,29.5566
3.376829,271.3541
3.550114,102.9854
3.537441,119.0777
3.457417,200.2201
3.420754,242.3024
3.346108,320.0502
3.446144,227.2185
3.479718,196.2405
3.597555,80.2944
3.540374,138.8846
3.221867,458.9095
3.595953,90.2630
3.631372,55.7790
3.497812,190.3061
3.663057,27.8632
3.673363,25.3933
3.656520,43.9702
3.319070,385.2573
3.561041,148.3601
3.542466,168.3479
3.591840,120.3866
3.644294,71.3574
3.666159,51.0498
3.641006,80.2794
3.568384,153.9035
3.611202,118.0129
3.502519,227.6523
3.704328,27.4503
3.680777,54.9172
3.620822,117.3947
3.329350,411.5852
3.675959,67.0427
3.715652,29.3186
3.483816,265.0957
3.688119,65.3901
3.729216,25.2752
3.712227,43.8125
3.730171,28.4419
3.622741,139.9048
