t_seconds,latency_ms
1.754086,24.5548
1.651396,128.7021
1.503654,277.4883
1.623003,161.2100
1.687602,98.0340
1.454378,335.5403
1.680417,116.5470
1.527145,271.3405
1.698806,101.5028
1.640778,161.7894
1.691316,112.6263
1.780098,29.8061
1.711298,99.6062
1.675733,136.3866
1.767490,48.5299
1.320084,499.1913
1.542361,279.3888
1.724725,101.2660
1.802568,26.8411
1.784214,46.1907
1.667811,166.1233
1.358236,478.6369
1.702704,135.5058
1.684565,157.7941
1.657317,193.1194
1.742912,110.6616
1.830405,24.5946
1.733714,122.4926
1.287387,570.2680
1.713964,153.1549
1.781143,87.8517
1.755041,114.9451
1.759931,114.3486
1.829409,45.8093
1.850437,28.6708
1.855000,26.4096
1.789919,92.4671
1.528970,355.6639
1.821750,68.3401
1.800309,91.2562
1.712734,185.3938
1.874280,24.8127
1.758941,143.1851
1.875219,28.3194
1.809905,95.3053
1.557569,350.3145
1.853574,55.8001
1.810904,103.1954
1.798486,118.0137
1.882386,40.7247
1.902127,22.3603
1.672895,257.7739
1.842360,89.7133
1.867119,69.1472
1.833935,105.9774
1.891566,49.3711
1.898129,47.2166
1.899093,50.0164
1.924488,28.8729
1.930669,23.6263
1.856207,102.4323
1.838210,123.6515
1.803942,159.5478
1.884635,83.6141
1.923111,46.9411
1.738503,233.1933
1.903539,69.8225
1.945346,33.1094
1.761024,220.9607
1.954296,28.6474
1.725687,264.4723
1.771028,220.5263
1.696105,297.2922
1.916500,78.8323
1.932073,64.3686
1.907884,90.0373
1.953361,49.5847
1.796964,208.8820
1.949110,60.0388
1.970053,43.5740
1.990160,24.4214
1.836873,179.4594
1.723701,295.7932
1.816020,207.3974
1.909375,117.8958
1.607529,421.4700
2.002946,27.3939
1.879109,153.6827
1.936267,99.9411
1.981985,56.4828
1.961862,77.5326
2.013628,28.8480
2.019494,30.1873
1.890091,163.8489
1.819276,235.9027
2.005847,51.1975
1.978456,84.3239
1.751312,315.6538
1.991555,77.1614
1.778641,291.9004
1.586190,487.3569
2.049682,27.4268
2.030340,52.3214
2.042476,45.0389
1.634773,454.5781
1.996442,96.1383
2.038469,55.5888
1.785637,312.1699
1.812120,287.6296
2.023418,78.8169
1.881410,225.4871
1.993397,114.4795
2.082662,28.2790
1.868995,246.9521
1.968249,151.8168
2.068717,54.2386
1.963491,165.1253
2.009150,120.4379
2.070542,59.9914
2.057045,75.8490
2.039395,98.8938
1.905211,234.9478
2.102235,40.7235
2.066966,80.6617
2.122956,27.0454
1.655895,495.7073
1.995333,161.4159
2.053940,107.2248
2.032792,130.6608
1.857655,310.6395
2.028999,142.1645
2.014582,159.8557
2.036208,141.6172
1.573652,608.2724
2.089351,93.5099
2.062780,121.2319
1.914100,273.8300
2.106898,85.0303
2.132894,61.9029
2.168296,28.7375
2.099750,101.6760
1.420162,782.1775
2.142959,63.0510
2.087516,121.6222
2.107877,105.8592
1.727540,490.8939
2.140159,81.8128
2.128616,94.3971
1.940938,283.0117
2.171164,53.7559
2.156750,72.7209
1.973362,260.2843
2.206011,31.8693
2.213737,31.3427
2.194797,51.1796
1.997928,249.1793
1.825992,427.5417
2.094058,160.9790
2.197034,58.9524
2.161166,98.8905
2.097807,163.1846
2.147629,114.7663
2.237880,27.2121
2.202340,64.2151
2.245978,25.4662
2.253534,22.8605
1.869986,407.6194
2.223014,57.4474
2.120067,164.2492
2.187931,98.4669
1.609110,681.9199
2.177826,118.0108
2.130534,167.1181
2.110942,187.7346
2.201427,105.3188
2.255037,52.6671
2.223950,91.2387
2.163453,152.7073
2.276395,41.9247
2.138289,180.9712
1.958640,362.6086
2.115948,209.3538
2.265093,63.8940
2.284316,45.6789
1.982944,350.9295
2.129588,207.6074
2.151603,187.2954
1.939913,402.5560
2.286398,59.6853
2.181925,165.9835
2.328987,22.7157
2.329996,25.2492
2.191929,166.4315
2.280462,79.4249
2.295837,68.7890
2.174438,191.5778
1.971696,400.0741
2.224921,148.7002
2.233647,144.8154
2.150002,230.4017
2.351704,29.7208
2.255986,133.1915
2.321249,70.6612
2.306746,90.4147
2.371771,26.3374
2.291031,108.6459
2.092581,308.9895
2.016333,387.7442
2.297652,108.5221
2.209138,199.8737
2.333874,78.9460
2.298677,115.6556
2.389178,28.7017
2.260057,163.8938
2.397161,29.1858
2.398109,29.1717
2.406175,24.8385
2.325302,107.1246
2.027271,408.1169
2.355245,87.3872
2.381425,62.6077
2.262395,183.0109
2.391911,54.4586
2.423951,28.3675
2.431014,26.9984
2.399677,63.6563
2.247108,217.2032
2.266573,199.1558
2.338899,131.1377
2.055179,420.1585
2.432427,44.6054
2.427281,52.5165
2.229471,252.8530
2.307705,176.2210
2.378463,109.7087
2.463334,28.5828
2.218435,274.6759
2.342469,156.6506
2.417881,82.1605
2.445407,56.3003
2.221972,287.3175
2.452319,57.9134
2.182861,328.2931
2.271444,241.5985
2.488172,27.6384
2.491917,30.8587
2.458012,67.9782
2.499120,30.1638
2.479798,53.4248
2.347909,186.2483
2.493111,45.4428
2.435388,104.5770
2.426348,115.3944
2.465729,79.1888
2.364627,182.3252
2.475338,75.8584
2.464312,88.2675
2.414333,143.3689
2.359887,199.1706
2.533223,29.5659
2.442633,121.0956
2.184012,386.7876
2.477033,95.5853
2.515811,59.4835
2.404078,174.7225
2.500042,80.8366
2.444033,137.8500
2.318320,265.5873
2.511155,78.3658
2.570800,23.1382
2.551197,44.1465
2.546952,54.8782
